video_id,comment,comment_count,comment_language,translated_comment,cleaned_comment,sentiment,sentiment_b,likes,replies,timestamp,date
7446111299458698498,بنات كيف تحركون الخصر هيك انا معرف احرك الا جه وحده معرف احرك الجهتين مع بعض,3247,ar,"Girls, how do you move your waist? I only know how to move one side, but I don’t know how to move both sides together.",girls move waist know move one side n’t know move sides together,0.0,-0.13344468,193,20,2024-12-11 10:52:22,2024-12-11
7446111299458698498,اوكي بقوم اتمرن,3247,ar,"Ok, I will exercise",ok exercise,0.296,0.079935625,1309,10,2024-12-09 05:35:55,2024-12-09
7446111299458698498,يا رب ما يشوفها,3247,ar,May God not let him see it,may god let see,0.2732,0.30137384,265,17,2024-12-09 12:32:10,2024-12-09
7446111299458698498,هذه الزوجه اللي تفتح النفس 💔,3247,ar,This wife who opens the soul 💔,wife opens soul 💔,0.0,-0.5028442,40,18,2024-12-12 09:53:46,2024-12-12
7446111299458698498,اويليييي🫦🫦🫦,3247,ar,Oh my,oh,0.0,-0.10847767,17,4,2025-01-03 23:52:47,2025-01-03
7446111299458698498,يارب يشوفها ويحل عني.,3247,ar,May God see her and relieve me.,may god see relieve,0.5574,0.48362538,31,4,2024-12-12 12:16:49,2024-12-12
7446111299458698498,عـزيـــزي المشـاهـد ليـش انـت حلـو 🫀🥹!..,3247,ar,"Dear viewer, why are you so pretty? 🫀🥹!..",dear viewer pretty 🫀🥹,0.7003,0.7443195,28,4,2024-12-12 17:32:42,2024-12-12
7446111299458698498,ذوقي اللي مستحيل احصله عندنا,3247,ar,My taste is impossible to find here,taste impossible find,0.0,-0.4469753,11,3,2024-12-12 15:31:29,2024-12-12
7446111299458698498,سلام عليكم. جوزوني,3247,ar,Peace be upon you. Marry me.,peace upon marry,0.5423,0.22298734,31,3,2024-12-09 12:49:29,2024-12-09
7446111299458698498,بخصوص الشوايه اللي طلبتها,3247,ar,About the grill you ordered,grill ordered,0.0,0.0043788105,74,2,2024-12-09 19:18:14,2024-12-09
7446111299458698498,تعبنااا😢,3247,ar,We are tired,tired,-0.4404,-0.5683022,9,5,2024-12-12 13:00:46,2024-12-12
